participant_id,condition,stimulus,pressed_key,correct_key,reaction_time_in_s,timestamp_start,timestamp_end
1,1,yellow,J,J,0.682187557220459,1619711077.415651,1619711091.814205
1,1,yellow,J,J,0.44006919860839844,1619711077.415651,1619711091.814205
1,1,blue,F,F,0.4922206401824951,1619711077.415651,1619711091.814205
1,1,blue,F,F,0.4205350875854492,1619711077.415651,1619711091.814205
1,1,yellow,J,J,0.45020151138305664,1619711077.415651,1619711091.814205
1,1,yellow,J,J,0.4308133125305176,1619711077.415651,1619711091.814205
1,1,blue,F,F,0.4545779228210449,1619711077.415651,1619711091.814205
1,1,yellow,J,J,0.5991997718811035,1619711077.415651,1619711091.814205
1,1,blue,F,F,0.475114107131958,1619711077.415651,1619711091.814205
1,1,yellow,J,J,0.4405646324157715,1619711077.415651,1619711091.814205
1,2,blue-yellow,J,J,0.8580901622772217,1619711077.415651,1619711091.814205
1,2,blue-yellow,J,J,0.5838477611541748,1619711077.415651,1619711091.814205
1,2,yellow-yellow,J,J,0.5498416423797607,1619711077.415651,1619711091.814205
1,2,yellow-blue,F,F,0.5733532905578613,1619711077.415651,1619711091.814205
1,2,yellow-blue,F,F,0.5611526966094971,1619711077.415651,1619711091.814205
1,2,yellow-yellow,J,J,0.47318220138549805,1619711077.415651,1619711091.814205
1,2,yellow-yellow,J,J,0.8281972408294678,1619711077.415651,1619711091.814205
1,2,blue-blue,F,F,0.6806714534759521,1619711077.415651,1619711091.814205
1,2,yellow-yellow,J,J,0.6341369152069092,1619711077.415651,1619711091.814205
1,2,yellow-blue,F,F,0.6083664894104004,1619711077.415651,1619711091.814205
2,1,yellow,J,J,0.4785130023956299,1619711125.560815,1619711137.86112
2,1,blue,F,F,0.5335705280303955,1619711125.560815,1619711137.86112
2,1,yellow,J,J,0.5475859642028809,1619711125.560815,1619711137.86112
2,1,yellow,J,J,0.45058417320251465,1619711125.560815,1619711137.86112
2,1,yellow,J,J,0.43230152130126953,1619711125.560815,1619711137.86112
2,1,blue,F,F,0.4261436462402344,1619711125.560815,1619711137.86112
2,1,blue,F,F,0.6371254920959473,1619711125.560815,1619711137.86112
2,1,yellow,J,J,0.4404008388519287,1619711125.560815,1619711137.86112
2,1,yellow,J,J,0.7106201648712158,1619711125.560815,1619711137.86112
2,1,yellow,J,J,0.5107128620147705,1619711125.560815,1619711137.86112
